id	height	width
NMAAHC-HCA_11.28.A.1	1281.0	801.0
NMAAHC-HCA_11.28.B.1	1248.0	801.0
NMAAHC-HCA_11.29.D	1728.0	1381.0
NMAAHC-HCA_11.3.A	1698.0	1434.0
NMAAHC-HCA_11.31.C	1704.0	1392.0
NMAAHC-HCA_11.31.D	1728.0	1381.0
NMAAHC-HCA_11.33.B	1728.0	1375.0
NMAAHC-HCA_11.34.C	1392.0	1704.0
NMAAHC-HCA_11.35.A	1698.0	1434.0
NMAAHC-HCA_11.38.B	1375.0	1728.0
NMAAHC-HCA_11.41.D	1728.0	1381.0
NMAAHC-HCA_11.42.A.1	1266.0	804.0
NMAAHC-HCA_11.42.D.2	1272.0	813.0
NMAAHC-HCA_11.6.B	1728.0	1375.0
NMAAHC-HCA_11.9.A	1698.0	1434.0
NMAAHC-HCA_12.1.A	1446.0	1746.0
NMAAHC-HCA_12.10.A	1746.0	1446.0
NMAAHC-HCA_12.13.D.2	1269.0	813.0
NMAAHC-HCA_12.19.A	1446.0	1746.0
NMAAHC-HCA_12.20.A	1746.0	1446.0
NMAAHC-HCA_12.21.A	1746.0	1446.0
NMAAHC-HCA_12.22.B	1434.0	1734.0
NMAAHC-HCA_12.22.C	1446.0	1710.0
NMAAHC-HCA_12.24.D	1872.0	1440.0
NMAAHC-HCA_12.25.B.1	1248.0	792.0
NMAAHC-HCA_12.26.A	1746.0	1446.0
NMAAHC-HCA_12.26.D	1440.0	1872.0
NMAAHC-HCA_12.27.B	1734.0	1434.0
NMAAHC-HCA_12.27.C1.	1278.0	771.0
NMAAHC-HCA_12.27.D	1440.0	1872.0
NMAAHC-HCA_12.28.D.1	1275.0	789.0
NMAAHC-HCA_12.29.C.1	1287.0	798.0
NMAAHC-HCA_12.29.C.2	1287.0	807.0
NMAAHC-HCA_12.29.D	1440.0	1872.0
NMAAHC-HCA_12.30.B	1734.0	1434.0
NMAAHC-HCA_12.30.D	1440.0	1872.0
NMAAHC-HCA_12.31.A.2	1269.0	831.0
NMAAHC-HCA_12.31.C	1446.0	1710.0
NMAAHC-HCA_12.32.D	1440.0	1872.0
NMAAHC-HCA_12.34.A	1446.0	1746.0
NMAAHC-HCA_12.36.C.1	1274.0	750.0
NMAAHC-HCA_12.38.A	1446.0	1746.0
NMAAHC-HCA_12.4.A.2	1248.0	792.0
NMAAHC-HCA_12.4.D	1440.0	1872.0
NMAAHC-HCA_12.40.A	1746.0	1446.0
NMAAHC-HCA_12.40.C	1710.0	1446.0
NMAAHC-HCA_12.42.B.1	1281.0	822.0
NMAAHC-HCA_12.42.B.2	1281.0	819.0
NMAAHC-HCA_12.43.C	1710.0	1446.0
NMAAHC-HCA_12.45.C.2	1314.0	813.0
NMAAHC-HCA_12.5.A.1	1293.0	810.0
NMAAHC-HCA_12.5.C.1	1302.0	795.0
NMAAHC-HCA_12.6.A	1446.0	1746.0
NMAAHC-HCA_12.6.A.2	1290.0	816.0
NMAAHC-HCA_12.7.A	1446.0	1746.0
NMAAHC-HCA_12.9.A	1746.0	1446.0
NMAAHC-HCA_12.9.D	1440.0	1872.0
NMAAHC-HCA_13.1.B	1200.0	1500.0
NMAAHC-HCA_13.11.A	1398.0	1734.0
NMAAHC-HCA_13.11.C	1416.0	1752.0
NMAAHC-HCA_13.14.B	1447.0	1806.0
NMAAHC-HCA_13.14.D	1411.0	1764.0
NMAAHC-HCA_13.16.B	1806.0	1447.0
NMAAHC-HCA_13.16.D	1764.0	1411.0
NMAAHC-HCA_13.19.D	1764.0	1411.0
NMAAHC-HCA_13.20.C	1752.0	1416.0
NMAAHC-HCA_13.21.D	1764.0	1411.0
NMAAHC-HCA_13.26.D	1764.0	1411.0
NMAAHC-HCA_13.27.A	1398.0	1734.0
NMAAHC-HCA_13.27.C	1752.0	1416.0
NMAAHC-HCA_13.28.A	1398.0	1734.0
NMAAHC-HCA_14.21.B	1880.0	1384.0
NMAAHC-HCA_15.47.A	1752.0	1416.0
NMAAHC-HCA_15.51.A	1752.0	1416.0
NMAAHC-HCA_15.53.B	1408.0	1760.0
NMAAHC-HCA_15.55.B	1760.0	1408.0
NMAAHC-HCA_15.55.D	1680.0	1368.0
NMAAHC-HCA_15.56.B	1760.0	1408.0
NMAAHC-HCA_15.57.B	1408.0	1760.0
NMAAHC-HCA_1.14.A	1656.0	1373.0
NMAAHC-HCA_1.28.A	1656.0	1373.0
NMAAHC-HCA_1.29.A	1656.0	1373.0
NMAAHC-HCA_1.31.A	1656.0	1373.0
NMAAHC-HCA_1.36.A	1622.0	1345.0
NMAAHC-HCA_1.36.B	1661.0	1323.0
NMAAHC-HCA_1.38.A	1622.0	1345.0
NMAAHC-HCA_1.4.B	1625.0	1322.0
NMAAHC-HCA_1.42.A	1622.0	1345.0
NMAAHC-HCA_1.43.A	1622.0	1345.0
