width	height	edan_id	ids_id
499.0	627.0	nmaahc_2007.1.69.1.42.B	NMAAHC-HCA_1_42_B
500.0	607.0	nmaahc_2007.1.69.1.42.C	NMAAHC-HCA_1_42_C
499.0	627.0	nmaahc_2007.1.69.1.42.D	NMAAHC-HCA_1_42_D
499.0	602.0	nmaahc_2007.1.69.1.43.A	NMAAHC-HCA_1_43_A
499.0	627.0	nmaahc_2007.1.69.1.43.B	NMAAHC-HCA_1_43_B
500.0	607.0	nmaahc_2007.1.69.1.43.C	NMAAHC-HCA_1_43_C
499.0	627.0	nmaahc_2007.1.69.1.43.D	NMAAHC-HCA_1_43_D
499.0	602.0	nmaahc_2007.1.69.1.44.A	NMAAHC-HCA_1_44_A
499.0	627.0	nmaahc_2007.1.69.1.44.B	NMAAHC-HCA_1_44_B
500.0	607.0	nmaahc_2007.1.69.1.44.C	NMAAHC-HCA_1_44_C
499.0	627.0	nmaahc_2007.1.69.1.44.D	NMAAHC-HCA_1_44_D
499.0	602.0	nmaahc_2007.1.69.1.45.A	NMAAHC-HCA_1_45_A
499.0	627.0	nmaahc_2007.1.69.1.45.B	NMAAHC-HCA_1_45_B
500.0	607.0	nmaahc_2007.1.69.1.45.C	NMAAHC-HCA_1_45_C
499.0	627.0	nmaahc_2007.1.69.1.45.D	NMAAHC-HCA_1_45_D
499.0	602.0	nmaahc_2007.1.69.1.46.A	NMAAHC-HCA_1_46_A
499.0	627.0	nmaahc_2007.1.69.1.46.B	NMAAHC-HCA_1_46_B
500.0	607.0	nmaahc_2007.1.69.1.46.C	NMAAHC-HCA_1_46_C
499.0	627.0	nmaahc_2007.1.69.1.46.D	NMAAHC-HCA_1_46_D
500.0	627.0	nmaahc_2007.1.69.1.5.A	NMAAHC-HCA_1_5_A
499.0	618.0	nmaahc_2007.1.69.1.5.B	NMAAHC-HCA_1_5_B
499.0	613.0	nmaahc_2007.1.69.1.5.C	NMAAHC-HCA_1_5_C
500.0	600.0	nmaahc_2007.1.69.1.5.D	NMAAHC-HCA_1_5_D
500.0	588.0	nmaahc_2007.1.69.1.6.A	NMAAHC-HCA_1_6_A
500.0	593.0	nmaahc_2007.1.69.1.6.B	NMAAHC-HCA_1_6_B
499.0	618.0	nmaahc_2007.1.69.1.6.C	NMAAHC-HCA_1_6_C
499.0	627.0	nmaahc_2007.1.69.1.6.D	NMAAHC-HCA_1_6_D
499.0	614.0	nmaahc_2007.1.69.1.7.A	NMAAHC-HCA_1_7_A
499.0	620.0	nmaahc_2007.1.69.1.7.B	NMAAHC-HCA_1_7_B
500.0	617.0	nmaahc_2007.1.69.1.7.C	NMAAHC-HCA_1_7_C
497.0	603.0	nmaahc_2007.1.69.1.7.D	NMAAHC-HCA_1_7_D
499.0	612.0	nmaahc_2007.1.69.1.8.A	NMAAHC-HCA_1_8_A
499.0	618.0	nmaahc_2007.1.69.1.8.B	NMAAHC-HCA_1_8_B
500.0	604.0	nmaahc_2007.1.69.1.8.C	NMAAHC-HCA_1_8_C
499.0	607.0	nmaahc_2007.1.69.1.8.D	NMAAHC-HCA_1_8_D
500.0	618.0	nmaahc_2007.1.69.1.9.A	NMAAHC-HCA_1_9_A
499.0	629.0	nmaahc_2007.1.69.1.9.B	NMAAHC-HCA_1_9_B
500.0	626.0	nmaahc_2007.1.69.1.9.C	NMAAHC-HCA_1_9_C
499.0	601.0	nmaahc_2007.1.69.1.9.D	NMAAHC-HCA_1_9_D
499.0	663.0	nmaahc_2007.1.69.10.1.A	NMAAHC-HCA_10_1_A
499.0	619.0	nmaahc_2007.1.69.10.1.D	NMAAHC-HCA_10_1_D
499.0	663.0	nmaahc_2007.1.69.10.10.A	NMAAHC-HCA_10_10_A
500.0	596.0	nmaahc_2007.1.69.10.10.B	NMAAHC-HCA_10_10_B
499.0	629.0	nmaahc_2007.1.69.10.10.C	NMAAHC-HCA_10_10_C
499.0	619.0	nmaahc_2007.1.69.10.10.D	NMAAHC-HCA_10_10_D
499.0	663.0	nmaahc_2007.1.69.10.11.A	NMAAHC-HCA_10_11_A
500.0	596.0	nmaahc_2007.1.69.10.11.B	NMAAHC-HCA_10_11_B
499.0	629.0	nmaahc_2007.1.69.10.11.C	NMAAHC-HCA_10_11_C
499.0	619.0	nmaahc_2007.1.69.10.11.D	NMAAHC-HCA_10_11_D
499.0	663.0	nmaahc_2007.1.69.10.12.A	NMAAHC-HCA_10_12_A
500.0	596.0	nmaahc_2007.1.69.10.12.B	NMAAHC-HCA_10_12_B
